OBJECTID,EVT_RT,EVT_RIN,EVT_DATE,LOCATION,RUCR,RUCR_EXT_D,x,y
1,GO,1507812,3/25/2026 12:00:00 AM,HERRING COVE RD,2142,THEFT FROM VEHICLE,-7076567.09664151,5554242.91942375
2,GO,1507699,3/25/2026 12:00:00 AM,GRAFTON ST,1430,ASSAULT,-7077272.90316933,5566242.55532739
3,GO,1507845,3/25/2026 12:00:00 AM,PORTLAND ST,1430,ASSAULT
4,GO,1507771,3/25/2026 12:00:00 AM,SHAUNSLIEVE DR,2142,THEFT FROM VEHICLE,-7086836.34624336,5573674.84273608
5,GO,1507757,3/25/2026 12:00:00 AM,BRUNSWICK ST,1430,ASSAULT,-7077859.02254563,5567033.51092376
6,GO,1507889,3/25/2026 12:00:00 AM,HARTLEN AVE,1430,ASSAULT,-7081443.52054153,5560686.56311087
7,GO,1507807,3/25/2026 12:00:00 AM,HOLLIS ST,2120,BREAK AND ENTER,-7076617.68438222,5565445.92436718
8,GO,1508540,3/25/2026 12:00:00 AM,GUYSBOROUGH AVE,1430,ASSAULT,-7072206.4598037,5571648.15346987
9,GO,1507891,3/25/2026 12:00:00 AM,BEECH TREE RUN,1430,ASSAULT,-7089291.51458183,5563968.7929767
10,GO,1507791,3/25/2026 12:00:00 AM,GRANDHAVEN BLVD,2135,THEFT OF VEHICLE,-7087076.48262544,5566609.99014074
11,GO,1507873,3/25/2026 12:00:00 AM,PORTLAND ST,2120,BREAK AND ENTER,-7075563.52213904,5569433.72890962
12,GO,1507810,3/25/2026 12:00:00 AM,HERRING COVE RD,2120,BREAK AND ENTER,-7081374.42846089,5559592.91363045
13,GO,1507917,3/25/2026 12:00:00 AM,GOTTINGEN ST,1610,ROBBERY,-7077928.29495551,5566810.49643743
14,GO,1507914,3/25/2026 12:00:00 AM,WEST PENNANT RD,1420,ASSAULT,-7085508.68655994,5538703.77441678
15,GO,1507957,3/26/2026 12:00:00 AM,HIGHWAY 2,1430,ASSAULT,-7081195.16384217,5592652.99390643
16,GO,1507980,3/26/2026 12:00:00 AM,BRUNSWICK ST,1420,ASSAULT,-7078131.24718566,5567561.56077136
17,GO,1508092,3/26/2026 12:00:00 AM,BEAVER BANK RD / GLENDALE DR,1430,ASSAULT,-7090124.38629814,5587315.67699459
18,GO,1507958,3/26/2026 12:00:00 AM,PRESCOTT ST,2142,THEFT FROM VEHICLE,-7081020.15848238,5568697.28836664
19,GO,1508031,3/26/2026 12:00:00 AM,BARRINGTON ST,2142,THEFT FROM VEHICLE,-7077280.82414535,5566792.66514213
20,GO,1508059,3/26/2026 12:00:00 AM,WYSE RD,1430,ASSAULT,-7077287.0043018,5569598.251114
21,GO,1508025,3/26/2026 12:00:00 AM,DRUMMOND CRT,2142,THEFT FROM VEHICLE,-7080910.50053717,5569249.95969275
22,GO,1508096,3/26/2026 12:00:00 AM,BRUNSWICK ST,2132,THEFT FROM VEHICLE,-7077673.57421303,5566853.9081318
23,GO,1507934,3/26/2026 12:00:00 AM,ROSS ST,2142,THEFT FROM VEHICLE,-7087422.71136868,5570196.35219008
24,GO,1508122,3/26/2026 12:00:00 AM,TRENHOLME ST,1430,ASSAULT,-7072781.15229171,5566176.00511584
25,GO,1508126,3/26/2026 12:00:00 AM,PLEASANT ST,2120,BREAK AND ENTER,-7073852.08989045,5566360.19251098
26,GO,1508070,3/26/2026 12:00:00 AM,MILLWOOD DR,1420,ASSAULT,-7092101.29036227,5588531.34276124
27,GO,1508083,3/26/2026 12:00:00 AM,SANDLEWOOD TERR,1420,ASSAULT,-7066736.56785094,5561172.01496864
28,GO,1507951,3/26/2026 12:00:00 AM,CHEBUCTO RD,2142,THEFT FROM VEHICLE,-7081895.32865715,5565707.93225746
29,GO,1508013,3/26/2026 12:00:00 AM,HOLLIS ST,1430,ASSAULT,-7076864.34544624,5566128.84292078
30,GO,1508334,3/27/2026 12:00:00 AM,PORTLAND ST,1410,ASSAULT,-7076171.18062325,5569073.13082325
31,GO,1508172,3/27/2026 12:00:00 AM,LARRY UTECK BLVD,2120,BREAK AND ENTER,-7088053.565756,5574739.7154019
32,GO,1508227,3/27/2026 12:00:00 AM,RAVINES DRIVE,2142,THEFT FROM VEHICLE,-7077595.04270218,5575796.47376716
33,GO,1508325,3/27/2026 12:00:00 AM,SPRING GARDEN RD,1610,ROBBERY,-7077402.55681481,5565481.75752348
34,GO,1508399,3/27/2026 12:00:00 AM,JACK FERGUSSON AVE,1430,ASSAULT,-7081762.47294359,5566378.25485159
35,GO,1508314,3/27/2026 12:00:00 AM,TERRY RD,1420,ASSAULT,-7087360.50401194,5588744.18256742
36,GO,1508140,3/27/2026 12:00:00 AM,FREDERICK AVE,1430,ASSAULT,-7084523.92780455,5567071.96444844
37,GO,1508272,3/27/2026 12:00:00 AM,DELLRIDGE LANE,2120,BREAK AND ENTER,-7089763.15495693,5574607.316273
38,GO,1508478,3/27/2026 12:00:00 AM,CHAIN LAKE DR,1430,ASSAULT,-7087007.77102289,5565571.97860913
39,GO,1508200,3/27/2026 12:00:00 AM,HOLLIS ST,2135,THEFT OF VEHICLE,-7076976.05161806,5566434.91774528
40,GO,1508322,3/27/2026 12:00:00 AM,MARKET ST,2132,THEFT FROM VEHICLE,-7077280.34032753,5566153.92358818
41,GO,1508394,3/27/2026 12:00:00 AM,SPRING GARDEN RD,2142,THEFT FROM VEHICLE,-7078228.26197847,5565075.45933853
42,GO,1508398,3/27/2026 12:00:00 AM,RICHMOND ST,2142,THEFT FROM VEHICLE,-7079841.16967475,5569287.09601684
43,GO,1508354,3/27/2026 12:00:00 AM,MAIN AVE,1430,ASSAULT,-7083053.29896744,5568444.19398535
44,GO,1508225,3/27/2026 12:00:00 AM,BRIGHT ST,2132,THEFT FROM VEHICLE,-7081601.04424352,5569137.66634753
45,GO,1508167,3/27/2026 12:00:00 AM,SPRING GARDEN RD,1460,ASSAULT,-7077210.59217175,5565447.13362691
